,Start Date,End Date,Duration(Days),State
0,2015-06-20,2015-06-21,1,ANDHRA  PRADESH
1,2015-11-15,2015-11-23,8,ANDHRA  PRADESH
2,2015-12-22,2015-12-22,0,ANDHRA  PRADESH
3,2015-10-06,2015-10-06,0,ARUNACHAL PRADESH
4,2015-02-19,2015-02-19,0,ASSAM
5,2015-01-06,2015-06-06,151,ASSAM
6,2015-09-06,2015-06-17,Diffing the dates,ASSAM
7,2015-06-20,2015-06-24,4,ASSAM
8,2015-07-14,2015-07-17,3,ASSAM
9,2015-08-19,2015-08-23,4,ASSAM
10,2015-08-25,2015-08-31,6,ASSAM
11,2015-01-09,2015-12-09,334,ASSAM
12,2015-09-23,2015-09-25,2,ASSAM
13,2015-07-24,2015-07-24,0,BIHAR
14,2015-03-09,2015-03-09,0,CHATTISGARH
15,2015-09-18,2015-09-22,4,CHATTISGARH
16,2015-01-06,2015-09-30,267,CHATTISGARH
17,2015-03-04,2015-04-04,31,HIMACHAL PRADESH
18,2015-06-20,2015-06-21,1,HIMACHAL PRADESH
19,2015-10-07,2015-11-07,31,HIMACHAL PRADESH
20,2015-07-16,2015-07-17,1,HIMACHAL PRADESH
21,2015-07-26,2015-07-26,0,HIMACHAL PRADESH
22,2015-08-08,2015-12-08,122,HIMACHAL PRADESH
23,2015-08-19,2015-08-19,0,HIMACHAL PRADESH
24,2015-03-21,2015-03-21,0,JAMMU & KASHMIR
25,2015-03-30,2015-03-30,0,JAMMU & KASHMIR
26,2015-04-04,2015-04-04,0,JAMMU & KASHMIR
27,2015-06-07,2015-06-07,0,JAMMU & KASHMIR
28,2015-09-07,2015-07-16,Diffing the dates,JAMMU & KASHMIR
29,2015-07-24,2015-07-24,0,JAMMU & KASHMIR
30,2015-07-25,2015-07-31,6,JAMMU & KASHMIR
31,2015-09-23,2015-09-23,0,JAMMU & KASHMIR
32,2015-06-03,2015-03-14,Diffing the dates,KARNATAKA
33,2015-07-04,2015-12-04,153,KARNATAKA
34,2015-04-22,2015-04-23,1,KARNATAKA
35,2015-04-05,2015-11-05,214,KARNATAKA
36,2015-05-27,2015-05-31,4,KARNATAKA
37,2015-06-20,2015-06-25,5,KARNATAKA
38,2015-10-07,2015-07-20,Diffing the dates,KARNATAKA
39,2015-09-29,2015-09-29,0,KARNATAKA
40,2015-01-10,2015-04-10,90,KARNATAKA
41,2015-02-11,2015-02-11,0,KARNATAKA
42,2015-03-03,2015-09-03,184,KERALA
43,2015-03-13,2015-03-17,4,KERALA
44,2015-03-27,2015-03-31,4,KERALA
45,2015-06-04,2015-10-04,122,KERALA
46,2015-11-04,2015-04-16,Diffing the dates,KERALA
47,2015-04-19,2015-04-25,6,KERALA
48,2015-04-26,2015-04-30,4,KERALA
49,2015-03-05,2015-05-05,61,KERALA
50,2015-07-05,2015-09-05,62,KERALA
