NAME_1,LEGEND_SHO,area_km2
AndamanandNicobar,Low Dissected Hills and Valleys,2968.5534070930316
AndhraPradesh,Pediment Pediplain Complex,329768.2195910043
ArunachalPradesh,Moderately Dissected Hills and Valleys,116497.53186559105
Assam,Moderately Dissected Hills and Valleys,64156.94759174357
Bihar,Alluvial Plain,76513.7474288829
Chandigarh,Alluvial Plain,933.2900001397618
Chhattisgarh,Pediment Pediplain Complex,290719.6484026025
DadraandNagarHaveli,Pediment Pediplain Complex,1614.1372476567499
DamanandDiu,Pediment Pediplain Complex,689.7397908259373
Goa,Pediment Pediplain Complex,36496.23311032614
Gujarat,Pediment Pediplain Complex,94455.69685138822
Haryana,Alluvial Plain,97907.34168679226
HimachalPradesh,Highly Dissected Hills and Valleys,60804.693687887586
JammuandKashmir,Unmapped,164687.84474932
Jharkhand,Pediment Pediplain Complex,109703.66136672847
Karnataka,Pediment Pediplain Complex,352356.24804245215
Kerala,Pediment Pediplain Complex,36002.70569080402
Lakshadweep,Coastal Plain,92.17180544811941
MadhyaPradesh,Pediment Pediplain Complex,326326.7768196456
Maharashtra,Pediment Pediplain Complex,378212.35290894134
Manipur,Moderately Dissected Hills and Valleys,42429.790673334646
Meghalaya,Moderately Dissected Hills and Valleys,41248.386613353854
Mizoram,Highly Dissected Hills and Valleys,19014.918782344703
NCTofDelhi,Alluvial Plain,46594.88697934652
Nagaland,Moderately Dissected Hills and Valleys,38093.14575079738
Odisha,Pediment Pediplain Complex,159506.43297722822
Puducherry,Pediment Pediplain Complex,29304.472924689588
Punjab,Alluvial Plain,108854.9758076047
Rajasthan,Pediment Pediplain Complex,194421.96483868282
Sikkim,Highly Dissected Hills and Valleys,3837.8560525057765
TamilNadu,Pediment Pediplain Complex,140050.8286803639
Telangana,Pediment Pediplain Complex,257414.7200034175
Tripura,Highly Dissected Hills and Valleys,13801.214989569991
UttarPradesh,Alluvial Plain,270654.1209383878
Uttarakhand,Alluvial Plain,72992.64007212373
WestBengal,Pediment Pediplain Complex,58886.21339874888
