state_match,latest_gdp
AndamanandNicobar,161564.0
AndhraPradesh,126587.0
ArunachalPradesh,108706.0
Assam,57227.0
Bihar,30779.0
Chandigarh,203180.0
Chhattisgarh,72236.0
NCTofDelhi,263477.0
Goa,298527.0
Gujarat,160321.0
Haryana,179367.0
HimachalPradesh,141830.0
JammuandKashmir,72287.0
Jharkhand,55126.0
Karnataka,168050.0
Kerala,143816.0
MadhyaPradesh,63345.0
Maharashtra,133356.0
Manipur,51876.0
Meghalaya,60606.0
Mizoram,97408.0
Nagaland,69663.0
Odisha,79607.0
Puducherry,150454.0
Punjab,118341.0
Rajasthan,81231.0
Sikkim,256507.0
TamilNadu,154427.0
Telangana,158561.0
Tripura,86539.0
UttarPradesh,40432.0
Uttarakhand,146047.0
WestBengal,72202.0
